PRODCODE,PRODDATE,CONTRACTNO,WONO,ITEMNO,CATCOD,ITEMSIZE,CUTSIZE,CUTSHT,CUTTIMES,REALSHT,CUTWEIGHT,CTRTYPE,DONO
2,44826,STOCK,0307I22,220602938#,001,00.80-1219.0-COIL.,00.80-1219.0-2438.0,14,1,14,247.09,1,
2,44826,0047J22,0307I22,220602938#,001,00.80-1219.0-COIL.,00.80-1219.0-2440.0,250,1,250,4416.02,1,0046J22
2,44826,0047J22,0307I22,220602938#,001,00.80-1219.0-COIL.,00.80-1219.0-2440.0,125,1,125,2208.01,1,0046J22
2,44767,STOCK,0255G22,210601844#,076,03.20-1219.0-COIL.,03.20-1219.0-2438.0,60,1,60,4535.59,1,
2,44767,0083I22,0255G22,210601844#,076,03.20-1219.0-COIL.,03.20-1219.0-2438.0,30,1,30,2267.8,1,0088I22
2,44767,0254I22,0255G22,210601844#,076,03.20-1219.0-COIL.,03.20-1219.0-2438.0,20,1,20,1511.86,1,0052J22
2,44767,STOCK,0255G22,210601844#,076,03.20-1219.0-COIL.,03.20-1219.0-2438.0,8,1,8,604.75,1,
1,44841,0048J22,0071J22,220401824,235,00.40-1219.0-COIL.,00.40-0100.0-COIL.,12,1,12,4715.4,2,0061J22
1,44841,0048J22,0072J22,220703565,235,00.80-1219.0-COIL.,00.80-0150.0-COIL.,6,1,6,2011.92,2,0061J22
1,44841,0048J22,0072J22,220703565,235,00.80-1219.0-COIL.,00.80-0120.0-COIL.,1,1,1,268.25,2,0061J22
1,44841,0048J22,0072J22,220703565,235,00.80-1219.0-COIL.,00.80-0095.0-COIL.,1,1,1,212.37,2,0061J22
1,44841,0048J22,0072J22,220703565,235,00.80-1219.0-COIL.,00.80-0083.0-COIL.,1,1,1,185.54,2,0061J22
1,44840,0253I22,0080J22,221004542#,076,06.00-1210.0-COIL.,06.00-0076.0-COIL.,8,2,16,4723.28,1,0271I22
1,44840,STOCK,0080J22,221004542#,076,06.00-1210.0-COIL.,06.00-0050.0-COIL.,1,2,2,388.43,1,
